"Style","Item","Carton_Qty","Price","Colour","Size","Fit","Desc","US_SoH","Next_Delivery","Length","Width","Height","CC","Weight(Kg)","EAN13","DUN14","Commodity_Code","Unit_Of_Sale","Image_Path"
2886,"2886CGR30",36,14.25,"Charcoal  ",30,"R","Industrial Work Pants",55,,43,28,48,1605.333,0.42,5036108269525,15036108759177,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGR.jpg"
2886,"2886CGR32",36,14.25,"Charcoal  ",32,"R","Industrial Work Pants",62,,43,28,48,1605.333,0.43,5036108269532,15036108759184,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGR.jpg"
2886,"2886CGR34",36,14.25,"Charcoal  ",34,"R","Industrial Work Pants",105,,43,28,48,1605.333,0.44,5036108269549,15036108759191,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGR.jpg"
2886,"2886CGR36",36,14.25,"Charcoal  ",36,"R","Industrial Work Pants",127,,43,28,48,1605.333,0.45,5036108269556,15036108759207,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGR.jpg"
2886,"2886CGR38",36,14.25,"Charcoal  ",38,"R","Industrial Work Pants",43,,43,28,48,1605.333,0.46,5036108269563,15036108759214,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGR.jpg"
2886,"2886CGR40",36,14.25,"Charcoal  ",40,"R","Industrial Work Pants",35,,43,28,48,1605.333,0.47,5036108269570,15036108759221,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGR.jpg"
2886,"2886CGR42",36,14.25,"Charcoal  ",42,"R","Industrial Work Pants",79,,43,28,48,1605.333,0.48,5036108269587,15036108759238,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGR.jpg"
2886,"2886CGR44",36,14.25,"Charcoal  ",44,"R","Industrial Work Pants",43,,43,28,48,1605.333,0.49,5036108269594,15036108759245,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGR.jpg"
2886,"2886CGR46",36,14.25,"Charcoal  ",46,"R","Industrial Work Pants",51,,43,28,48,1605.333,0.5,5036108269600,15036108759252,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGR.jpg"
2886,"2886CGR48",36,14.25,"Charcoal  ",48,"R","Industrial Work Pants",59,,43,28,48,1605.333,0.51,5036108269617,15036108759269,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGR.jpg"
2886,"2886CGR50",36,14.25,"Charcoal  ",50,"R","Industrial Work Pants",29,,43,28,48,1605.333,0.52,5036108269624,15036108759276,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGR.jpg"
2886,"2886CGR52",36,14.25,"Charcoal  ",52,"R","Industrial Work Pants",23,,43,28,48,1605.333,0.53,5036108269631,15036108759283,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGR.jpg"
2886,"2886CGT32",36,14.25,"Char T    ",32,"T","Industrial Work Pants",121,,43,28,48,1605.333,0.44,5036108269648,15036108759290,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGT.jpg"
2886,"2886CGT34",36,14.25,"Char T    ",34,"T","Industrial Work Pants",110,,43,28,48,1605.333,0.46,5036108269655,15036108759306,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGT.jpg"
2886,"2886CGT36",36,14.25,"Char T    ",36,"T","Industrial Work Pants",115,,43,28,48,1605.333,0.47,5036108269662,15036108759313,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGT.jpg"
2886,"2886CGT38",36,14.25,"Char T    ",38,"T","Industrial Work Pants",95,,43,28,48,1605.333,0.48,5036108269679,15036108759320,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGT.jpg"
2886,"2886CGT40",36,14.25,"Char T    ",40,"T","Industrial Work Pants",97,,43,28,48,1605.333,0.49,5036108269686,15036108759337,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGT.jpg"
2886,"2886CGT42",36,14.25,"Char T    ",42,"T","Industrial Work Pants",25,,43,28,48,1605.333,0.5,5036108269693,15036108759344,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886CGT.jpg"
2886,"2886NAR28",36,14.25,"Navy      ",28,"R","Industrial Work Pants",34,,43,28,48,1605.333,0.4,5036108269723,15036108759375,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886NAR.jpg"
2886,"2886NAR30",36,14.25,"Navy      ",30,"R","Industrial Work Pants",52,,43,28,48,1605.333,0.42,5036108269730,15036108759382,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886NAR.jpg"
2886,"2886NAR32",36,14.25,"Navy      ",32,"R","Industrial Work Pants",49,,43,28,48,1605.333,0.43,5036108269747,15036108759399,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886NAR.jpg"
2886,"2886NAR34",36,14.25,"Navy      ",34,"R","Industrial Work Pants",51,,43,28,48,1605.333,0.44,5036108269754,15036108759405,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886NAR.jpg"
2886,"2886NAR36",36,14.25,"Navy      ",36,"R","Industrial Work Pants",72,,43,28,48,1605.333,0.45,5036108269761,15036108759412,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886NAR.jpg"
2886,"2886NAR38",36,14.25,"Navy      ",38,"R","Industrial Work Pants",39,,43,28,48,1605.333,0.46,5036108269778,15036108759429,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886NAR.jpg"
2886,"2886NAR40",36,14.25,"Navy      ",40,"R","Industrial Work Pants",84,,43,28,48,1605.333,0.47,5036108269785,15036108759436,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886NAR.jpg"
2886,"2886NAR42",36,14.25,"Navy      ",42,"R","Industrial Work Pants",90,,43,28,48,1605.333,0.48,5036108269792,15036108759443,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886NAR.jpg"
2886,"2886NAR44",36,14.25,"Navy      ",44,"R","Industrial Work Pants",126,,43,28,48,1605.333,0.49,5036108269808,15036108759450,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886NAR.jpg"
2886,"2886NAR46",36,14.25,"Navy      ",46,"R","Industrial Work Pants",115,,43,28,48,1605.333,0.5,5036108269815,15036108759467,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886NAR.jpg"
2886,"2886NAR48",36,14.25,"Navy      ",48,"R","Industrial Work Pants",40,,43,28,48,1605.333,0.51,5036108269822,15036108759474,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886NAR.jpg"
2886,"2886NAR50",36,14.25,"Navy      ",50,"R","Industrial Work Pants",28,,43,28,48,1605.333,0.51,5036108269839,15036108759481,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886NAR.jpg"
2886,"2886NAR52",36,14.25,"Navy      ",52,"R","Industrial Work Pants",4,,43,28,48,1605.333,0.52,5036108269846,15036108759498,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886NAR.jpg"
2886,"2886NAT32",36,14.25,"Navy T    ",32,"T","Industrial Work Pants",36,,43,28,48,1605.333,0.43,5036108269853,15036108759504,6203439010,1,"https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2886NAT.jpg"
